prompt_key,run,n_prompt_tokens,n_decode_tokens,ttft_s,total_s,prefill_tok_s,decode_tok_s,itl_p50_ms,itl_p99_ms,peak_mem_mb,backend,quant,weight_mem_mb,hostname,platform,python_ver,numpy_ver
short,1,40,25,0.047113,1.145318,849.031,21.854,45.757,45.854,3458.1,gpu_int4,int4,979.6,atl1-1-02-018-33-0.pace.gatech.edu,Linux-5.14.0-570.100.1.el9_6.x86_64-x86_64-with-glibc2.34,3.11.15,2.4.6
short,2,40,25,0.047082,1.145639,849.58,21.847,45.766,45.82,3458.1,gpu_int4,int4,979.6,atl1-1-02-018-33-0.pace.gatech.edu,Linux-5.14.0-570.100.1.el9_6.x86_64-x86_64-with-glibc2.34,3.11.15,2.4.6
short,3,40,25,0.047077,1.145771,849.675,21.844,45.776,45.824,3458.1,gpu_int4,int4,979.6,atl1-1-02-018-33-0.pace.gatech.edu,Linux-5.14.0-570.100.1.el9_6.x86_64-x86_64-with-glibc2.34,3.11.15,2.4.6
medium,1,46,81,0.047179,3.711032,975.003,21.835,45.785,46.022,3458.1,gpu_int4,int4,979.6,atl1-1-02-018-33-0.pace.gatech.edu,Linux-5.14.0-570.100.1.el9_6.x86_64-x86_64-with-glibc2.34,3.11.15,2.4.6
medium,2,46,81,0.047153,3.710591,975.545,21.837,45.789,45.869,3458.1,gpu_int4,int4,979.6,atl1-1-02-018-33-0.pace.gatech.edu,Linux-5.14.0-570.100.1.el9_6.x86_64-x86_64-with-glibc2.34,3.11.15,2.4.6
medium,3,46,81,0.047173,3.70992,975.126,21.842,45.781,45.85,3458.1,gpu_int4,int4,979.6,atl1-1-02-018-33-0.pace.gatech.edu,Linux-5.14.0-570.100.1.el9_6.x86_64-x86_64-with-glibc2.34,3.11.15,2.4.6
long,1,57,128,0.047252,5.865989,1206.308,21.826,45.809,45.881,3458.1,gpu_int4,int4,979.6,atl1-1-02-018-33-0.pace.gatech.edu,Linux-5.14.0-570.100.1.el9_6.x86_64-x86_64-with-glibc2.34,3.11.15,2.4.6
long,2,57,128,0.047247,5.864705,1206.433,21.831,45.804,45.868,3458.1,gpu_int4,int4,979.6,atl1-1-02-018-33-0.pace.gatech.edu,Linux-5.14.0-570.100.1.el9_6.x86_64-x86_64-with-glibc2.34,3.11.15,2.4.6
long,3,57,128,0.047268,5.867288,1205.899,21.821,45.802,45.877,3458.1,gpu_int4,int4,979.6,atl1-1-02-018-33-0.pace.gatech.edu,Linux-5.14.0-570.100.1.el9_6.x86_64-x86_64-with-glibc2.34,3.11.15,2.4.6
