prompt_key,run,n_prompt_tokens,n_decode_tokens,ttft_s,total_s,prefill_tok_s,decode_tok_s,itl_p50_ms,itl_p99_ms,peak_mem_mb,backend,quant,cuda_attn,weight_mem_mb,hostname,platform,python_ver,numpy_ver,torch_ver,cuda_ver,gpu_name,transformers_ver
short,1,40,24,0.019172,0.407375,2086.398,59.247,16.868,16.956,3515.6,gpu,none,off,2357.1,atl1-1-02-018-31-0.pace.gatech.edu,Linux-5.14.0-570.116.1.el9_6.x86_64-x86_64-with-glibc2.34,3.11.15,2.4.6,2.12.0+cu130,13.0,NVIDIA A100-PCIE-40GB,5.10.2
short,2,40,24,0.018818,0.406022,2125.665,59.4,16.836,16.874,3515.6,gpu,none,off,2357.1,atl1-1-02-018-31-0.pace.gatech.edu,Linux-5.14.0-570.116.1.el9_6.x86_64-x86_64-with-glibc2.34,3.11.15,2.4.6,2.12.0+cu130,13.0,NVIDIA A100-PCIE-40GB,5.10.2
short,3,40,24,0.018771,0.40625,2130.93,59.358,16.837,16.944,3515.6,gpu,none,off,2357.1,atl1-1-02-018-31-0.pace.gatech.edu,Linux-5.14.0-570.116.1.el9_6.x86_64-x86_64-with-glibc2.34,3.11.15,2.4.6,2.12.0+cu130,13.0,NVIDIA A100-PCIE-40GB,5.10.2
medium,1,46,66,0.018815,1.109246,2444.903,59.609,16.774,16.855,3515.6,gpu,none,off,2357.1,atl1-1-02-018-31-0.pace.gatech.edu,Linux-5.14.0-570.116.1.el9_6.x86_64-x86_64-with-glibc2.34,3.11.15,2.4.6,2.12.0+cu130,13.0,NVIDIA A100-PCIE-40GB,5.10.2
medium,2,46,66,0.018822,1.10954,2443.972,59.594,16.781,16.854,3515.6,gpu,none,off,2357.1,atl1-1-02-018-31-0.pace.gatech.edu,Linux-5.14.0-570.116.1.el9_6.x86_64-x86_64-with-glibc2.34,3.11.15,2.4.6,2.12.0+cu130,13.0,NVIDIA A100-PCIE-40GB,5.10.2
medium,3,46,66,0.018687,1.107645,2461.598,59.69,16.755,16.828,3515.6,gpu,none,off,2357.1,atl1-1-02-018-31-0.pace.gatech.edu,Linux-5.14.0-570.116.1.el9_6.x86_64-x86_64-with-glibc2.34,3.11.15,2.4.6,2.12.0+cu130,13.0,NVIDIA A100-PCIE-40GB,5.10.2
long,1,57,128,0.018838,2.146864,3025.875,59.68,16.755,16.824,3515.6,gpu,none,off,2357.1,atl1-1-02-018-31-0.pace.gatech.edu,Linux-5.14.0-570.116.1.el9_6.x86_64-x86_64-with-glibc2.34,3.11.15,2.4.6,2.12.0+cu130,13.0,NVIDIA A100-PCIE-40GB,5.10.2
long,2,57,128,0.018911,2.14714,3014.171,59.674,16.756,16.827,3515.6,gpu,none,off,2357.1,atl1-1-02-018-31-0.pace.gatech.edu,Linux-5.14.0-570.116.1.el9_6.x86_64-x86_64-with-glibc2.34,3.11.15,2.4.6,2.12.0+cu130,13.0,NVIDIA A100-PCIE-40GB,5.10.2
long,3,57,128,0.018829,2.145495,3027.217,59.718,16.746,16.796,3515.6,gpu,none,off,2357.1,atl1-1-02-018-31-0.pace.gatech.edu,Linux-5.14.0-570.116.1.el9_6.x86_64-x86_64-with-glibc2.34,3.11.15,2.4.6,2.12.0+cu130,13.0,NVIDIA A100-PCIE-40GB,5.10.2
