prompt_key,run,n_prompt_tokens,n_decode_tokens,ttft_s,total_s,prefill_tok_s,decode_tok_s,itl_p50_ms,itl_p99_ms,peak_mem_mb,backend,hostname,platform,python_ver,numpy_ver
short,1,40,24,0.014927,0.307378,2679.736,78.646,12.659,13.205,3501.4,gpu,atl1-1-02-018-33-0.pace.gatech.edu,Linux-5.14.0-570.100.1.el9_6.x86_64-x86_64-with-glibc2.34,3.11.15,2.4.6
short,2,40,24,0.01415,0.304305,2826.825,79.268,12.624,12.74,3501.4,gpu,atl1-1-02-018-33-0.pace.gatech.edu,Linux-5.14.0-570.100.1.el9_6.x86_64-x86_64-with-glibc2.34,3.11.15,2.4.6
short,3,40,24,0.014041,0.304386,2848.835,79.216,12.608,12.776,3501.4,gpu,atl1-1-02-018-33-0.pace.gatech.edu,Linux-5.14.0-570.100.1.el9_6.x86_64-x86_64-with-glibc2.34,3.11.15,2.4.6
medium,1,46,67,0.014155,0.848106,3249.666,79.141,12.626,12.77,3501.4,gpu,atl1-1-02-018-33-0.pace.gatech.edu,Linux-5.14.0-570.100.1.el9_6.x86_64-x86_64-with-glibc2.34,3.11.15,2.4.6
medium,2,46,67,0.014162,0.846993,3248.087,79.248,12.612,12.788,3501.4,gpu,atl1-1-02-018-33-0.pace.gatech.edu,Linux-5.14.0-570.100.1.el9_6.x86_64-x86_64-with-glibc2.34,3.11.15,2.4.6
medium,3,46,67,0.014153,0.84873,3250.265,79.082,12.616,13.094,3501.4,gpu,atl1-1-02-018-33-0.pace.gatech.edu,Linux-5.14.0-570.100.1.el9_6.x86_64-x86_64-with-glibc2.34,3.11.15,2.4.6
long,1,57,128,0.014131,1.610368,4033.562,79.562,12.56,12.754,3501.4,gpu,atl1-1-02-018-33-0.pace.gatech.edu,Linux-5.14.0-570.100.1.el9_6.x86_64-x86_64-with-glibc2.34,3.11.15,2.4.6
long,2,57,128,0.014299,1.608865,3986.349,79.645,12.542,12.813,3501.4,gpu,atl1-1-02-018-33-0.pace.gatech.edu,Linux-5.14.0-570.100.1.el9_6.x86_64-x86_64-with-glibc2.34,3.11.15,2.4.6
long,3,57,128,0.014076,1.608891,4049.565,79.633,12.549,12.742,3501.4,gpu,atl1-1-02-018-33-0.pace.gatech.edu,Linux-5.14.0-570.100.1.el9_6.x86_64-x86_64-with-glibc2.34,3.11.15,2.4.6
