prompt_key,run,n_prompt_tokens,n_decode_tokens,ttft_s,total_s,prefill_tok_s,decode_tok_s,itl_p50_ms,itl_p99_ms,peak_mem_mb,backend,quant,weight_mem_mb,hostname,platform,python_ver,numpy_ver
short,1,40,24,0.023449,0.532459,1705.859,45.186,22.113,22.25,3474.1,gpu_int8,int8,1429.8,atl1-1-02-018-33-0.pace.gatech.edu,Linux-5.14.0-570.100.1.el9_6.x86_64-x86_64-with-glibc2.34,3.11.15,2.4.6
short,2,40,24,0.023401,0.531717,1709.303,45.248,22.101,22.145,3474.1,gpu_int8,int8,1429.8,atl1-1-02-018-33-0.pace.gatech.edu,Linux-5.14.0-570.100.1.el9_6.x86_64-x86_64-with-glibc2.34,3.11.15,2.4.6
short,3,40,24,0.023428,0.532058,1707.371,45.22,22.112,22.233,3474.1,gpu_int8,int8,1429.8,atl1-1-02-018-33-0.pace.gatech.edu,Linux-5.14.0-570.100.1.el9_6.x86_64-x86_64-with-glibc2.34,3.11.15,2.4.6
medium,1,46,67,0.023479,1.483826,1959.188,45.195,22.128,22.174,3474.1,gpu_int8,int8,1429.8,atl1-1-02-018-33-0.pace.gatech.edu,Linux-5.14.0-570.100.1.el9_6.x86_64-x86_64-with-glibc2.34,3.11.15,2.4.6
medium,2,46,67,0.023476,1.484121,1959.478,45.185,22.129,22.178,3474.1,gpu_int8,int8,1429.8,atl1-1-02-018-33-0.pace.gatech.edu,Linux-5.14.0-570.100.1.el9_6.x86_64-x86_64-with-glibc2.34,3.11.15,2.4.6
medium,3,46,67,0.02347,1.489783,1959.956,45.011,22.128,24.566,3474.1,gpu_int8,int8,1429.8,atl1-1-02-018-33-0.pace.gatech.edu,Linux-5.14.0-570.100.1.el9_6.x86_64-x86_64-with-glibc2.34,3.11.15,2.4.6
long,1,57,128,0.023607,2.836296,2414.531,45.153,22.148,22.215,3474.1,gpu_int8,int8,1429.8,atl1-1-02-018-33-0.pace.gatech.edu,Linux-5.14.0-570.100.1.el9_6.x86_64-x86_64-with-glibc2.34,3.11.15,2.4.6
long,2,57,128,0.023584,2.836144,2416.923,45.155,22.145,22.19,3474.1,gpu_int8,int8,1429.8,atl1-1-02-018-33-0.pace.gatech.edu,Linux-5.14.0-570.100.1.el9_6.x86_64-x86_64-with-glibc2.34,3.11.15,2.4.6
long,3,57,128,0.023595,2.835695,2415.729,45.162,22.142,22.189,3474.1,gpu_int8,int8,1429.8,atl1-1-02-018-33-0.pace.gatech.edu,Linux-5.14.0-570.100.1.el9_6.x86_64-x86_64-with-glibc2.34,3.11.15,2.4.6
